total,Lookup_Value,co_benefit_type,LAD,EPC,Tenure,Typology,Fuel_Type,Gas_flag,Number_cars,Under_35,Over_65,Median_Income,Unemployment,Rurality,House_value,Fuel_consumption_total,Floor_area,Urban_trips,Total_vkm,Urban_vkm,Y2025_2029,Y2030_2034,Y2035_2039,Y2040_2044,Y2045_2050
"0.4782751798629761","S01008417","Air quality","S12000036","4","1","2","1","1","0","0.31","0.29","35791.3452","0.03","1","167250","16800","70","513.69","16610.35","11009.81","0.012924548238515854","0.043912000954151154","0.09572122991085052","0.13837778568267822","0.18733960390090942"
"-0.013488712720572948","S01008417","Congestion","S12000036","4","1","2","1","1","0","0.31","0.29","35791.3452","0.03","1","167250","16800","70","513.69","16610.35","11009.81","0.0058573461137712","0.006988786160945892","-0.00018812797497957945","-0.008111998438835144","-0.018034717068076134"
"0.0050436160527169704","S01008417","Dampness","S12000036","4","1","2","1","1","0","0.31","0.29","35791.3452","0.03","1","167250","16800","70","513.69","16610.35","11009.81","0.000020625910110538825","0.00045138999121263623","0.0011056889779865742","0.0014904359122738242","0.0019754748791456223"
"0.05065234750509262","S01008417","Diet change","S12000036","4","1","2","1","1","0","0.31","0.29","35791.3452","0.03","1","167250","16800","70","513.69","16610.35","11009.81","0.007169716060161591","0.011484322138130665","0.010750124230980873","0.010052570141851902","0.011195614002645016"
"0.13482719659805298","S01008417","Excess cold","S12000036","4","1","2","1","1","0","0.31","0.29","35791.3452","0.03","1","167250","16800","70","513.69","16610.35","11009.81","0.0004481840005610138","0.0066148811019957066","0.023978572338819504","0.04256538674235344","0.06122017651796341"
"0.0000015117821021704003","S01008417","Excess heat","S12000036","4","1","2","1","1","0","0.31","0.29","35791.3452","0.03","1","167250","16800","70","513.69","16610.35","11009.81","-2.845999880207728e-9","2.4650001151371725e-8","2.379780141836818e-7","5.110000529384706e-7","7.410000080199097e-7"
"-0.765250027179718","S01008417","Longer travel times","S12000036","4","1","2","1","1","0","0.31","0.29","35791.3452","0.03","1","167250","16800","70","513.69","16610.35","11009.81","-0.10799071192741394","-0.15368059277534485","-0.15787410736083984","-0.15880650281906128","-0.18689805269241333"
"0.8689953088760376","S01008417","Noise","S12000036","4","1","2","1","1","0","0.31","0.29","35791.3452","0.03","1","167250","16800","70","513.69","16610.35","11009.81","0.030948752537369728","0.11147251725196838","0.2138255089521408","0.254303902387619","0.25844475626945496"
"0.8810131549835205","S01008417","Physical activity","S12000036","4","1","2","1","1","0","0.31","0.29","35791.3452","0.03","1","167250","16800","70","513.69","16610.35","11009.81","0.09246265888214111","0.1498725563287735","0.17701366543769836","0.19946244359016418","0.26220184564590454"
"-0.0010225001024082303","S01008417","Road repairs","S12000036","4","1","2","1","1","0","0.31","0.29","35791.3452","0.03","1","167250","16800","70","513.69","16610.35","11009.81","-0.000006879999091324862","-0.00006751999899279326","-0.00018480001017451286","-0.0002970999921672046","-0.0004661999992094934"
"-0.007235274650156498","S01008417","Road safety","S12000036","4","1","2","1","1","0","0.31","0.29","35791.3452","0.03","1","167250","16800","70","513.69","16610.35","11009.81","0.002055720891803503","0.0023836090695112944","-0.0002881130203604698","-0.0033770070876926184","-0.00800948403775692"
"0.4768601655960083","S01008418","Air quality","S12000036","3","1","1","1","1","0","0.34","0.29","34832.8084","0.02","1","168500","19188","78","497.12","17807.29","11803.17","0.01288631185889244","0.04378208518028259","0.09543803334236145","0.13796837627887726","0.18678537011146545"
"-0.013448803685605526","S01008418","Congestion","S12000036","3","1","1","1","1","0","0.34","0.29","34832.8084","0.02","1","168500","19188","78","497.12","17807.29","11803.17","0.005840015597641468","0.006968109868466854","-0.00018756900681182742","-0.008087998256087303","-0.017981361597776413"
"0.006100151687860489","S01008418","Dampness","S12000036","3","1","1","1","1","0","0.34","0.29","34832.8084","0.02","1","168500","19188","78","497.12","17807.29","11803.17","0.00004074308890267275","0.0006851450307294726","0.0012707499554380774","0.0016450899420306087","0.0024584238417446613"
"0.050502482801675797","S01008418","Diet change","S12000036","3","1","1","1","1","0","0.34","0.29","34832.8084","0.02","1","168500","19188","78","497.12","17807.29","11803.17","0.0071485028602182865","0.011450343765318394","0.010718317702412605","0.010022828355431557","0.011162489652633667"
"0.1109515056014061","S01008418","Excess cold","S12000036","3","1","1","1","1","0","0.34","0.29","34832.8084","0.02","1","168500","19188","78","497.12","17807.29","11803.17","0.0002795240143314004","0.004960373044013977","0.018778059631586075","0.034729864448308945","0.05220368504524231"
"0.0000013725782537221676","S01008418","Excess heat","S12000036","3","1","1","1","1","0","0.34","0.29","34832.8084","0.02","1","168500","19188","78","497.12","17807.29","11803.17","-1.877999977750733e-9","2.5096200673146996e-8","2.1255999627101119e-7","4.576999970140605e-7","6.791000259909197e-7"
"-0.7629858255386353","S01008418","Longer travel times","S12000036","3","1","1","1","1","0","0.34","0.29","34832.8084","0.02","1","168500","19188","78","497.12","17807.29","11803.17","-0.10767120867967606","-0.15322591364383698","-0.15740704536437988","-0.15833665430545807","-0.18634507060050964"
"0.8662217855453491","S01008418","Noise","S12000036","3","1","1","1","1","0","0.34","0.29","34832.8084","0.02","1","168500","19188","78","497.12","17807.29","11803.17","0.030851412564516068","0.11112108081579208","0.21317793428897858","0.25354307889938354","0.25752830505371094"
"0.7859387993812561","S01008418","Physical activity","S12000036","3","1","1","1","1","0","0.34","0.29","34832.8084","0.02","1","168500","19188","78","497.12","17807.29","11803.17","0.08250060677528381","0.1337142437696457","0.15791885554790497","0.17792770266532898","0.23387748003005981"
